DISPLAY_FIRST_LAST,POSITION,height_in_inches,2P%_career,3P%_career,FT%_career,PF100_career,TS%_career,3PAr_career,FTr_career,ORB%_career,DRB%_career,AST%_career,STL%_career,BLK%_career,TOV%_career,USG%_career
Darius Miller,Forward,78,0.509,0.379,0.815,5.1,0.568,0.467,0.229,4.7,9.1,13.2,1.7,2.5,16.3,17.3
Darius Morris,Guard,76,0.528,0.223,0.695,4.4,0.526,0.191,0.365,2.8,9.4,35.4,1.8,0.3,19.6,22.3
Darrun Hilliard,Guard,78,0.507,0.367,0.748,4.6,0.569,0.506,0.38,2.4,11.1,15.4,3,1.5,13.4,22.4
Davon Reed,Guard,77,0.466,0.395,0.779,4.2,0.569,0.503,0.334,2.9,12.4,12.4,1.9,1.4,13.7,20.2
De'Aaron Fox,Guard,75,0.521,0.246,0.736,4.6,0.549,0.154,0.474,2.1,12.2,28.6,2.7,0.7,13.7,27.5
De'Anthony Melton,Guard,74,0.51,0.284,0.706,4.8,0.53,0.32,0.472,5.9,13.6,22.5,4,3.9,18.5,17.7
Deandre Ayton,Center,84,0.635,0.343,0.733,4,0.65,0.078,0.424,13.5,28.2,10.2,1,6.1,11.3,26.6
DeAndre Liggins,Guard,78,0.455,0.332,0.643,4.9,0.505,0.392,0.411,2.8,11.6,17,2.4,2.1,20.5,16.4
DeAndre' Bembry,Guard-Forward,77,0.52,0.312,0.628,4.1,0.528,0.303,0.389,4.3,16.3,22.1,2.4,2.4,14.2,24.9
Dejounte Murray,Guard,77,0.457,0.288,0.663,4.1,0.485,0.243,0.342,4.1,13.7,25.6,2.8,0.8,16.3,25.8
Delon Wright,Guard,77,0.594,0.299,0.814,2.9,0.629,0.2,0.593,4.3,15.4,30.8,4,3.5,15.8,22.1
Demetrius Jackson,Guard,73,0.523,0.381,0.782,3.8,0.582,0.393,0.347,3.6,8.2,19.2,2.2,0.7,14.1,20.1
Dennis Smith Jr.,Guard,74,0.509,0.359,0.715,3.3,0.563,0.364,0.476,2.7,11.5,34.2,3.1,1.2,17.3,27.2
Denzel Valentine,Guard,76,0.476,0.408,0.779,4.5,0.569,0.497,0.218,4.6,18.7,29.5,1.9,1.1,18,22.1
Derrick White,Guard,76,0.569,0.396,0.813,3.7,0.627,0.356,0.45,3.5,10.5,28.6,2.2,4.9,14.2,25.3
Derrick Williams,Forward,80,0.598,0.511,0.719,5.4,0.66,0.136,0.85,10.9,21,7.7,1.6,2.3,14.7,27.9
Desmond Bane,Guard,77,0.542,0.433,0.804,4.2,0.611,0.432,0.203,3.8,14.3,16.1,1.8,1.4,13.1,19.9
Devin Booker,Guard,77,0.527,0.411,0.828,4.5,0.6,0.491,0.223,2.6,7.8,10.9,1.3,0.3,10.4,22.8
Devin Vassell,Guard-Forward,77,0.514,0.417,0.72,4.2,0.579,0.407,0.225,5,14.5,11.4,2.8,3.9,7.1,20
Devon Hall,Guard,77,0.44,0.389,0.807,3.9,0.538,0.407,0.271,1.9,14.9,16.5,1.6,0.9,12.3,17.6
Devonte' Graham,Guard,73,0.437,0.409,0.787,3,0.578,0.558,0.355,1.7,8.9,23.6,2.5,0.3,15.1,19.7
Devyn Marble,Forward,78,0.447,0.338,0.726,3.3,0.516,0.291,0.438,3.6,10.8,21.9,2.8,1,12.4,24.8
Dewan Hernandez,Center-Forward,82,0.567,0,0.675,5.3,0.583,0.013,0.385,9.5,17,2.9,1.3,4.5,13.5,20.6
